NAME_2,POBTOT
"Abasolo",92040
"Acámbaro",108697
Allende,174615
Apaseo el Alto,63392
Apaseo el Grande,117883
Atarjea,5296
Celaya,521169
Comonfort,82216
Coroneo,11083
Cortazar,97928
"Cuerámaro",30857
Doctor Mora,27390
Dolores Hidalgo,163038
Guanajuato,194500
Huanímaro,21128
Irapuato,592953
Jaral del Progreso,38782
Jerécuaro,49517
León,1721215
Manuel Doblado,41240
Moroleón,47261
Ocampo,26383
Pénjamo,154960
Pueblo Nuevo,12403
Purísima del Rincón,83842
Romita,65766
Salamanca,273417
Salvatierra,94126
San Diego de la Unión,41054
San Felipe,119793
San Francisco del Rincón,130871
San José Iturbide,89558
San Luis de la Paz,128536
Santa Catarina,5723
Santa Cruz de Juventino Rosas,82340
Santiago Maravatío,6714
Silao,203556
Tarandacuao,11304
Tarimoro,35905
Tierra Blanca,20007
Uriangato,61494
Valle de Santiago,150054
Victoria,21253
Villagrán,65791
Xichú,11143
Yuriria,68741
