id,POBTOT
Acatic,23175
Acatlán de Juárez,25250
Ahualulco de Mercado,23630
Amacueca,5743
Amatitán,16490
Ameca,60386
Arandas,80609
Atemajac de Brizuela,7758
Atengo,5599
Atenguillo,4176
Atotonilco El Alto,64009
Atoyac,8689
Autlán de Navarro,64931
Ayotlán,41552
Ayutla,12880
Bolaños,7043
Cabo Corrientes,10940
Cañadas de Obregón,4388
Casimiro Castillo,20548
Chapala,55196
Chimaltitán,3270
Chiquilistlán,5983
Cihuatlán,40139
Cocula,29267
Colotlán,19689
Concepción de Buenos Aires,6334
Cuautitlán de García Barragán,18370
Cuautla,2166
Cuquito,17820
Degollado,21226
Ejutla,1981
El Arenal,21115
El Grullo,25920
El Limón,5368
El Salto,232852
Encarnación de Díaz,53039
Etzatlán,20011
Gómez Farías,16431
Guachinango,4199
Guadalajara,1385629
Hostotipaquillo,8732
Huejúcar,5920
Huejuquilla el Alto,10015
Ixtlahuacán de los Membrillos,67969
Ixtlahuacán del Río,20465
Jalostotitlán,32678
Jamay,24894
Jesús María,18982
Jilotlán de los Dolores,9425
Jocotepec,47105
Juanacatlán,30855
Juchitlán,5534
La Barca,67937
La Huerta,23258
La Manzanilla de la Paz,4099
Lagos de Moreno,172403
Magdalena,21781
Mascota,14451
Mazamitla,14043
Mexticacán,5307
Mezquitic,22083
Mixtlán,3638
Ocotlán,106050
Ojuelos de Jalisco,33588
Pihuamo,11386
Poncitlán,53659
Puerto Vallarta,291839
Quitupan,7734
San Cristóbal de la Barranca,2924
San Diego de Alejandría,7609
Ciudad Venustiano Carranza,16548
Lago de Chapala,18341
San Juan de los Lagos,72230
Antonio Escobedo,9433
San Julián,16792
San Marcos,3791
San Martín de Bolaños,3095
San Martín Hidalgo,28102
San Miguel el Alto,31965
Tlaquepaque,687127
San Sebastián del Oeste,5086
Santa María de los Angeles,3515
Manuel M. Dieguez,1815
Sayula,37186
Tala,87690
Talpa de Allende,14997
Tamazula de Gordiano,38955
Tapalpa,21245
Tecalitlán,16705
Techaluta de Montenegro,4072
Tecolotlán,16603
Tenamaxtlán,7302
Teocaltiche,39839
Teocuitatlán de Corona,11039
Tepatitlán de Morelos,150190
Tequila,44353
Teuchitlán,9647
Tizapán el Alto,22758
Tlajomulco de Zúñiga,727750
Tolimán,11219
Tomatlán,36316
Tonalá,569913
Tonaya,5961
Tonila,7565
Totatiche,4180
Tototlán,23573
Tuxcacuesco,5482
Tuxcueca,6702
Tuxpan,37518
Unión de San Antonio,19069
Unión de Tula,13799
Valle de Guadalupe,6627
Valle de Juárez,6151
Villa Corona,19063
Villa Guerrero,5525
Villa Hidalgo,20088
Villa Purificación,11303
Yahualica de González Gallo,22394
Zacoalco de Torres,30472
Zapopan,1476491
Zapotiltic,33713
Zapotitlán de Vadillo,7466
Zapotlán del Rey,19279
Ciudad Guzman,115141
Zapotlanejo,64806
